nodId,animalId,nodNumber,sex,strain,motherId,fatherId,cleanDiagnosis,cause,numSnvs,numIndels,sisterExchanges,den1sig,den2sig,spont1sig,spont2sig,cosineSigFit,knownDriver,cloneType,cellularityBin
91215_N8,91215,N8,Male,c3h,87418;87419,81568,DN,DEN,52251,716,27,0.7424058298,0.223132932,0.0342747953,0.0001864429,0.995885970660224,Hras,clonal,0.795
91215_N9,91215,N9,Male,c3h,87418;87419,81568,DN,DEN,36054,618,21,0.856995898,0.132916591,0.008551719,0.001535791,0.998355974530253,Braf,clonal,0.795
91216_N1,91216,N1,Male,c3h,87418;87419,81568,DN,DEN,62586,974,27,0.8420172162,0.1569208615,0.0008093396,0.0002525827,0.998718264252112,Braf;Hras,clonal,0.795
91216_N2,91216,N2,Male,c3h,87418;87419,81568,DN,DEN,29216,536,11,0.64288351,0.339755171,0.012509594,0.004851725,0.995877893483083,Braf,clonal,0.795
91216_N3,91216,N3,Male,c3h,87418;87419,81568,DN,DEN,43906,751,17,0.4236128094,0.5608561402,0.0151899011,0.0003411492,0.996600053518944,Braf,clonal,0.795
91216_N4,91216,N4,Male,c3h,87418;87419,81568,DN,DEN,44758,765,14,0.8795885899,0.1174957034,0.0020815701,0.0008341367,0.998790723252764,Hras,clonal,0.655
91216_N5,91216,N5,Male,c3h,87418;87419,81568,DN,DEN,46234,551,21,0.780813828,0.203892054,0.001459364,0.013834755,0.99711431645558,Braf,clonal,0.795
91216_N6,91216,N6,Male,c3h,87418;87419,81568,DN,DEN,67637,636,28,0.8143142305,0.1683409207,0.0172275877,0.0001172611,0.998474640681872,Braf,clonal,0.795
91216_N7,91216,N7,Male,c3h,87418;87419,81568,DN,DEN,86736,890,19,0.4698198,0.5299148,0.000178819,8.666055e-05,0.992487440122702,Braf,clonal,0.795
90789_N2,90789,N2,Male,c3h,86690;86691,81567,DN,DEN,74298,1148,22,0.813225429,0.175753987,0.006896848,0.004123736,0.998080015446557,Egfr;Braf,clonal,0.795
90888_N5,90888,N5,Male,c3h,86765,86568,DN,DEN,28569,634,12,0.72115509,0.25017218,0.02197086,0.00670186,0.995545296776655,Braf,clonal,0.795
91098_N1,91098,N1,Male,c3h,87416;87417,87439,DN,DEN,64420,1076,30,0.9241304442,0.0704956421,0.0052693375,0.0001045762,0.998594298922153,Braf,clonal,0.745
91215_N5,91215,N5,Male,c3h,87418;87419,81568,DN,DEN,15452,495,3,0.755466975,0.180605311,0.060182231,0.003745483,0.995116998981106,Braf,clonal,0.795
