Sample	emission_HMM_multi_state_M_M1	emission_HMM_multi_state_M_M2	emission_HMM_multi_state_M_M3	segments_HMM_multi_state_M1	segments_HMM_multi_state_M2	segments_HMM_multi_state_M3	segments_HMM_multi_state_M1_prop	segments_HMM_multi_state_M2_prop	segments_HMM_multi_state_M3_prop	sites_HMM_multi_state_M1	sites_HMM_multi_state_M2	sites_HMM_multi_state_M3	sites_HMM_multi_state_M1_prop	sites_HMM_multi_state_M2_prop	sites_HMM_multi_state_M3_prop	emission_HMM_as_state_T>N_A1	emission_HMM_as_state_T>N_A2	emission_HMM_as_state_T>N_A3	emission_HMM_as_state_T>N_A4	emission_HMM_as_state_T>N_A5	segments_HMM_as_state_A1	segments_HMM_as_state_A2	segments_HMM_as_state_A3	segments_HMM_as_state_A4	segments_HMM_as_state_A5	segments_HMM_as_state_A1_prop	segments_HMM_as_state_A2_prop	segments_HMM_as_state_A3_prop	segments_HMM_as_state_A4_prop	segments_HMM_as_state_A5_prop	sites_HMM_as_state_A1	sites_HMM_as_state_A2	sites_HMM_as_state_A3	sites_HMM_as_state_A4	sites_HMM_as_state_A5	sites_HMM_as_state_A1_prop	sites_HMM_as_state_A2_prop	sites_HMM_as_state_A3_prop	sites_HMM_as_state_A4_prop	sites_HMM_as_state_A5_prop
91215_N8	0.04153849465774179	0.07865446010951645	0.18225109088498231	4	14	26	0.09090909090909091	0.3181818181818182	0.5909090909090909	625	14482	37144	0.011961493559931867	0.2771621595758933	0.7108763468641749	0.9789466372102817	0.6066303143130406	0.5162091270126907	0.3329857689761384	0.01959999800052002	12	3	22	2	27	0.18181818181818182	0.045454545454545456	0.3333333333333333	0.030303030303030304	0.4090909090909091	7808	72	14870	40	15668	0.2030266784544178	0.0018721722398460658	0.38665557231265274	0.0010400956888033698	0.40740548130428
91215_N9	0.050549171346388644	0.1264232965708284	0.2119383192524092	0	0	20	0.0	0.0	1.0	0	0	36054	0.0	0.0	1.0	0.9711099137040896	0.5875810036857123	0.49965702741533047	0.2610731345221726	0.029100887185821527	15	0	22	1	11	0.30612244897959184	0.0	0.4489795918367347	0.02040816326530612	0.22448979591836735	8279	0	15429	12	4358	0.2948571835600826	0.0	0.5495049504950495	0.0004273808675831612	0.15521048507728472
91216_N1	0.038545754358570966	0.07107368173633417	0.11219825422852985	11	22	0	0.3333333333333333	0.6666666666666666	0.0	14814	47772	0	0.2366983031348864	0.7633016968651136	0.0	0.9684119709045256	0.627344585667493	0.495391408850174	0.2917528460499277	0.03383513093525086	17	0	23	0	14	0.3148148148148148	0.0	0.42592592592592593	0.0	0.25925925925925924	8851	0	25154	0	13929	0.18464972670755622	0.0	0.5247632160887887	0.0	0.290587057203655
91216_N2	0.02133343833575575	0.1231171550800542	0.21356138384503937	1	15	18	0.029411764705882353	0.4411764705882353	0.5294117647058824	818	16071	12327	0.027998357064622125	0.5500753012048193	0.4219263417305586	0.9803587268629946	0.5802621324057143	0.5018448327054867	0.40932927845607153	0.02429095724030018	19	0	16	0	5	0.475	0.0	0.4	0.0	0.125	6446	0	11223	0	2593	0.31813246471226925	0.0	0.5538939887474089	0.0	0.12797354654032178
91216_N3	0.03462508182415656	0.06867156243275796	0.11857416452150807	16	14	6	0.4444444444444444	0.3888888888888889	0.16666666666666666	28888	10295	4723	0.6579510773015078	0.23447820343461032	0.10757071926388193	0.950903855944382	0.69117167314042	0.5060767088905795	0.3841162409239932	0.054467151606626706	6	0	19	0	18	0.13953488372093023	0.0	0.4418604651162791	0.0	0.4186046511627907	3696	0	11866	0	11662	0.13576256244490156	0.0	0.43586541287099617	0.0	0.42837202468410224
91216_N4	0.04550811256756126	0.129295472311008	0.23774764539822663	0	0	20	0.0	0.0	1.0	0	0	44758	0.0	0.0	1.0	0.965549705119155	0.6110176458795001	0.5028836070435663	0.37562274013129804	0.036345409234519066	15	0	17	0	14	0.32608695652173914	0.0	0.3695652173913043	0.0	0.30434782608695654	9535	0	15324	0	10318	0.27105779344458025	0.0	0.43562555078602494	0.0	0.29331665576939475
91216_N5	0.00757597949359806	0.14596029654925158	0.28834208317099513	0	18	22	0.0	0.45	0.55	0	18412	27822	0.0	0.3982350651036034	0.6017649348963966	0.9773723320008512	0.5898009354716971	0.5081519152110832	0.4162267367501004	0.023854494022828278	18	3	20	2	13	0.32142857142857145	0.05357142857142857	0.35714285714285715	0.03571428571428571	0.23214285714285715	6734	53	17177	1797	8078	0.1990011525163273	0.0015662401371198912	0.5076095629303466	0.053104406158574424	0.23871863825763173
91216_N6	0.04441259023906922	0.14244208829881086	0.2604281489059335	19	23	17	0.3220338983050847	0.3898305084745763	0.288135593220339	14420	27371	25846	0.21319691884619366	0.40467495601519876	0.38212812513860756	0.9663410360220053	0.6591352740280075	0.4988341697679216	0.31321826408396536	0.034102172819200215	14	0	27	1	14	0.25	0.0	0.48214285714285715	0.017857142857142856	0.25	8712	0	27016	10	16012	0.16834782608695653	0.0	0.522048309178744	0.0001932367149758454	0.3094106280193237
91216_N7	0.04766305304446192	0.10329541870434296	0.1944379715936251	2	22	19	0.046511627906976744	0.5116279069767442	0.4418604651162791	2304	57283	27149	0.026563364692861097	0.6604293488286294	0.3130072864785095	0.938207915865669	0.625663162444051	0.4982327642512631	0.19998551466262438	0.08280540076225403	11	2	25	4	8	0.22	0.04	0.5	0.08	0.16	17023	563	32135	2515	3177	0.3072022810531825	0.010160070741522748	0.5799180697670222	0.04538646166062115	0.057333116777651454
91217_N1	0.05256779619833917	0.13226401149120978	0.20177895393743062	0	0	20	0.0	0.0	1.0	0	0	51581	0.0	0.0	1.0	0.9766785418947206	0.7075949286962628	0.5026550149623007	0.30961140617101407	0.02513552474529089	19	1	25	0	17	0.3064516129032258	0.016129032258064516	0.4032258064516129	0.0	0.27419354838709675	10116	19	15876	0	11919	0.266701819140522	0.0005009227524387029	0.4185605061956235	0.0	0.31423675191141576
