simulation,clone id,clone fitness,"birth, death rates",clone proportion,clone size
471,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.42610549877861026,66698246
471,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.37146684727711554,58145664
471,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.030583258323164456,4787194
471,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08814574760316701,13797444
476,BAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.29510462267111537,41774262
476,BAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.7048953773288846,99783202
478,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.016367122967813473,1653422
478,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.20263742174381663,20470621
478,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04254031275954089,4297462
478,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4413211258169854,44582671
478,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.29713378903625426,30016732
478,BBAAA,1.0,"(0.5, 0.5, 0.0)",8.9090447998346e-08,9
478,BBAAB,1.0,"(0.5, 0.5, 0.0)",5.939363199889734e-08,6
478,BBBBB,1.0,"(0.5, 0.5, 0.0)",7.919150933186312e-08,8
479,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16330860189859422,20839139
479,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09250124173346329,11803703
479,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08157678493312773,10409678
479,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.12077358938776861,15411421
479,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.07868709850353535,10040937
479,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.05001873463721936,6382685
479,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0959698826434238,12246322
479,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15485194660337262,19760020
479,ABBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16231211965949502,20711982
488,AABAA,1.0,"(0.5, 0.5, 0.0)",1.0,6
489,BAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1834053064669894,21940872
489,BAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0917862355842492,10980435
489,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.11289514676434698,13505705
489,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.43661091196971236,52231990
489,BABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.17530239921470206,20971517
490,AABBB,1.0,"(0.5, 0.5, 0.0)",1.0,12
523,BAAAA,1.0,"(0.5, 0.5, 0.0)",1.0,46
527,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,6
535,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.5992132566036927,84823109
535,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.40078674339630727,56734355
536,BABAA,1.0,"(0.5, 0.5, 0.0)",1.0,2
539,AAABA,1.0,"(0.5, 0.5, 0.0)",1.0,12
547,BABBB,1.0,"(0.5, 0.5, 0.0)",1.0,2
552,BBAAA,1.0,"(0.5, 0.5, 0.0)",1.0,4
562,ABAAA,1.0,"(0.5, 0.5, 0.0)",1.0,4
572,BBABA,1.0,"(0.5, 0.5, 0.0)",1.0,4
576,AAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09929309180682831,13462282
576,AAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1082527890747139,14677049
576,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.36886973792948,50011822
576,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.26329560823138864,35697949
576,AABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16028877295758917,21732153
579,BABBA,1.0,"(0.5, 0.5, 0.0)",1.0,4
581,BABBA,1.0,"(0.5, 0.5, 0.0)",1.0,12
584,AABAB,1.0,"(0.5, 0.5, 0.0)",1.0,10
592,BAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.22965807926327583,34800546
592,BAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1381284497212209,20930879
592,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.28455156376847185,43118665
592,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.12186837827531745,18466958
592,BABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04881080853745266,7396399
592,BABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1769827204342613,26818544
599,AABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.23544983346074724,34426316
599,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.06170719232043092,9022522
